         3411122 function calls (3342073 primitive calls) in 14.481 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17067    0.011    0.000    0.122    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     2887    0.034    0.000    0.556    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     9283    0.011    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     2889    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:884(__init__)
     2887    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
     2887    0.051    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     8379    0.005    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     2887    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      904    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
     2265    0.001    0.000    0.002    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.001    0.001 <string>:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:411(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.002    0.002 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 Image.py:2428(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2433(ImageTransformHandler)
        1    0.000    0.000    0.004    0.004 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3099(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3135(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:490(_E)
        1    0.000    0.000    0.000    0.000 Image.py:531(Image)
        1    0.000    0.000    0.000    0.000 Image.py:66(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:70(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:74(_imaging_not_installed)
        1    0.000    0.000    0.006    0.006 ImageEnhance.py:21(<module>)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:24(_Enhance)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:39(Color)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:57(Contrast)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:74(Brightness)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:90(Sharpness)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:111(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:126(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:141(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:159(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:174(BoxBlur)
        1    0.000    0.000    0.001    0.001 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:195(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:221(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:234(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:245(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:256(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:267(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:278(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:28(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:289(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:300(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:311(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:32(MultibandFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:322(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:335(Color3DLUT)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:36(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:43(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:72(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:96(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 ImageStat.py:24(<module>)
        1    0.000    0.000    0.000    0.000 ImageStat.py:29(Stat)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(NodeFilter)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
      186    0.003    0.000    1.553    0.008 __init__.py:1(<module>)
        5    0.000    0.000    0.018    0.004 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(PerformanceWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:100(NotSupportedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:100(RedirectLimit)
        1    0.000    0.000    0.000    0.000 __init__.py:1000(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:1002(flush)
        1    0.000    0.000    0.022    0.022 __init__.py:101(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:1013(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:103(InuseAttributeErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:104(FailedToDecompressContent)
        1    0.000    0.000    0.000    0.000 __init__.py:105(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:105(NullHandler)
        1    0.000    0.000    0.200    0.200 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:106(InvalidStateErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:1073(_comp_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:108(UnimplementedDigestAuthOptionError)
        1    0.000    0.000    0.000    0.000 __init__.py:109(SyntaxErr)
    32/16    0.000    0.000    2.009    0.126 __init__.py:109(import_module)
        5    0.000    0.000    0.001    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(set_keras_submodules)
      593    0.000    0.000    0.026    0.000 __init__.py:1104(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1109(ExtractionError)
      592    0.001    0.000    0.026    0.000 __init__.py:111(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1119(HTTPConnectionWithTimeout)
